_week,avg_slippage_bps,total_slippage_value,total_commission,avg_market_impact_bps,total_market_impact_value,total_pnl,total_alpha,total_beta,total_cost,total_timing,num_trades,total_volume,cost_to_pnl_ratio,avg_cost_per_trade
2024-16,0.17405455310080858,360165218.73102224,212858.50465137046,15.10720583829218,165744255.09481198,23310479.5742899,12.685642892000669,23310466.88864701,526122332.3304858,-360165218.73102224,864,43668948,2257.02,608937.88
2024-17,0.5450409652008154,2804598297.133336,212949.1889444852,15.431530015111571,164444388.47958577,21490829.29349626,13.967427311052912,21490815.326068945,2969255634.801866,-2804598297.133336,864,41243587,13816.38,3436638.47
2024-18,0.9476947657129977,4269821974.9095216,217120.0112442135,15.056694325776956,167951897.01021752,20980395.251833703,13.46367931607503,20980381.788154386,4437990991.930984,-4269821974.9095216,864,43855875,21153.04,5136563.65
2024-19,0.06542892171062477,-2822862300.191003,214542.92380949933,14.66253918144897,149027106.96145573,21090869.4592137,12.351691480985108,21090857.10752222,-2673620650.3057375,2822862300.191003,864,42495472,-12676.67,-3094468.35
2024-20,0.9225121859443804,-2355548348.0781054,214750.04637723236,14.954765692693243,159913650.9784504,21052439.458909772,12.173058244599478,21052427.28585153,-2195419947.0532775,2355548348.0781054,865,43231752,-10428.34,-2538057.74
2024-21,0.2853605174769521,5234417535.560285,221756.10469723912,14.998231686546887,168156140.3639084,21361946.87094726,13.241178668801117,21361933.62976859,5402795432.028891,-5234417535.560285,864,42996712,25291.68,6253235.45
2024-22,-1.1463900641711435,2327131328.4193153,215950.8036488398,15.126880909470058,165440234.2020618,19248468.619638026,13.628530648795127,19248454.99110738,2492787513.425025,-2327131328.4193153,864,44174068,12950.58,2885170.73
2024-23,0.9497926662846281,1563504851.847163,215010.53728323447,14.686963334336633,164514135.10248533,20926803.88141849,12.745887632981834,20926791.135530856,1728233997.4869316,-1563504851.847163,864,42696439,8258.47,2000270.83
2024-24,0.26953357410014356,7178255681.0427885,211391.25071140224,15.0193623692639,156337389.3211038,21382773.537515406,12.638862912121898,21382760.898652494,7334804461.614604,-7178255681.0427885,864,41514673,34302.4,8489357.02
2024-25,0.8226343827640975,1393915941.6148777,216464.86206873928,14.885911632717312,167078296.47086346,23775231.434265424,13.383024966037427,23775218.051240455,1561210702.9478102,-1393915941.6148777,864,42248292,6566.54,1806956.83
2024-26,-0.44055194987741164,4676671228.316774,217810.90919679243,14.803852104175206,163102160.6540241,19772682.773670617,13.810669125735794,19772668.96300149,4839991199.879995,-4676671228.316774,865,42229732,24478.17,5595365.55
2024-27,-0.09904345560527819,1065408301.6226902,218836.2924723469,14.668898903778139,156947091.54517996,20666181.14959084,12.794308683036757,20666168.355282154,1222574229.4603426,-1065408301.6226902,864,42680612,5915.82,1415016.47
2024-28,1.0596565642934133,674909291.5720881,221698.42231859226,15.092886187893884,163862934.8294514,21156456.500514902,13.035426230704367,21156443.46508867,838993924.8238579,-674909291.5720881,864,41927116,3965.66,971057.78
2024-29,-0.21797462948243648,-2271384948.064473,214697.77524209075,15.430316081447874,164645672.83491954,22083983.139171883,13.040996773200847,22083970.098175112,-2106524577.4543116,2271384948.064473,864,43033614,-9538.7,-2438107.15
2024-30,0.3884215983337803,6880129290.832182,221369.15722454627,15.351831800554812,173126805.49981362,20725584.959157415,13.014921252900473,20725571.944236163,7053477465.489221,-6880129290.832182,864,43189439,34032.71,8163747.07
2024-31,-1.7276216224437704,-3279972674.644358,221572.65840971426,14.933710399357345,156834344.76475832,22558335.653888628,12.705116216716489,22558322.94877241,-3122916757.221191,3279972674.644358,864,43012164,-13843.74,-3614486.99
2024-32,-0.5849040531067967,-4154519053.3518167,222715.2664844492,14.907812956355592,157766455.36181423,21283283.71079159,12.809427344270388,21283270.90136425,-3996529882.7235174,4154519053.3518167,865,43293443,-18777.79,-4620265.76
2024-33,0.18169229987618837,864793191.2651514,221789.17491067573,14.968102645830474,163345028.37079513,21512055.96324602,13.777692084532706,21512042.18555394,1028360008.8108575,-864793191.2651514,864,43702589,4780.39,1190231.49
2024-34,1.3690288932948291,-2556046483.51212,193131.9311889756,14.987101871827432,133274392.99464303,18385064.280815564,11.353538057416351,18385052.927277505,-2422578958.5862885,2556046483.51212,741,36142354,-13176.89,-3269337.33
